,NTACode,yearMonth,citibike_arrivals
0,BK09,201601,3892
1,BK09,201602,4498
2,BK09,201603,7443
3,BK09,201604,8779
4,BK09,201605,11049
5,BK09,201606,13540
6,BK09,201607,12677
7,BK09,201608,13958
8,BK09,201609,17803
9,BK09,201610,16987
10,BK09,201611,12712
11,BK09,201612,7833
12,BK09,201701,6863
13,BK09,201702,7538
14,BK09,201703,6995
15,BK09,201704,14276
16,BK09,201705,16863
17,BK09,201706,19420
18,BK09,201707,19447
19,BK09,201708,39790
20,BK09,201709,20398
21,BK09,201710,19804
22,BK09,201711,13578
23,BK09,201712,9192
24,BK09,201801,7252
25,BK09,201802,8718
26,BK09,201803,9707
27,BK32,201601,13
28,BK32,201602,15
29,BK32,201603,32
30,BK32,201604,37
31,BK32,201605,52
32,BK32,201606,55
33,BK32,201607,159
34,BK32,201608,139
35,BK32,201609,248
36,BK32,201610,147
37,BK32,201611,151
38,BK32,201612,123
39,BK32,201701,159
40,BK32,201702,108
41,BK32,201703,111
42,BK32,201704,143
43,BK32,201705,182
44,BK32,201706,187
45,BK32,201707,431
46,BK32,201708,2148
47,BK32,201709,1008
48,BK32,201710,1039
49,BK32,201711,844
50,BK32,201712,519
51,BK32,201801,395
52,BK32,201802,619
53,BK32,201803,581
54,BK33,201601,281
55,BK33,201602,410
56,BK33,201603,944
57,BK33,201604,1614
58,BK33,201605,1767
59,BK33,201606,2070
60,BK33,201607,1956
61,BK33,201608,4446
62,BK33,201609,21238
63,BK33,201610,21400
64,BK33,201611,15750
65,BK33,201612,9753
66,BK33,201701,8649
67,BK33,201702,10318
68,BK33,201703,9391
69,BK33,201704,19700
70,BK33,201705,22463
71,BK33,201706,28846
72,BK33,201707,30034
73,BK33,201708,58945
74,BK33,201709,29088
75,BK33,201710,27898
76,BK33,201711,19341
77,BK33,201712,12732
78,BK33,201801,10870
79,BK33,201802,12406
80,BK33,201803,15206
81,BK35,201601,1157
82,BK35,201602,1235
83,BK35,201603,2050
84,BK35,201604,2202
85,BK35,201605,2894
86,BK35,201606,3792
87,BK35,201607,3648
88,BK35,201608,3938
89,BK35,201609,4469
90,BK35,201610,4184
91,BK35,201611,3151
92,BK35,201612,2072
93,BK35,201701,1891
94,BK35,201702,2216
95,BK35,201703,2060
96,BK35,201704,4006
97,BK35,201705,4811
98,BK35,201706,5677
99,BK35,201707,6191
100,BK35,201708,12904
101,BK35,201709,6255
102,BK35,201710,5879
103,BK35,201711,3774
104,BK35,201712,2118
105,BK35,201801,1912
106,BK35,201802,2062
107,BK35,201803,2642
108,BK37,201601,678
109,BK37,201602,686
110,BK37,201603,1331
111,BK37,201604,1635
112,BK37,201605,1939
113,BK37,201606,1973
114,BK37,201607,1905
115,BK37,201608,4922
116,BK37,201609,25081
117,BK37,201610,28010
118,BK37,201611,21446
