,NTACode,yearMonth,citibike_departures
0,BK09,201601,4310
1,BK09,201602,4963
2,BK09,201603,7599
3,BK09,201604,9172
4,BK09,201605,11370
5,BK09,201606,13750
6,BK09,201607,12807
7,BK09,201608,14240
8,BK09,201609,18124
9,BK09,201610,17352
10,BK09,201611,13164
11,BK09,201612,8307
12,BK09,201701,7435
13,BK09,201702,8103
14,BK09,201703,7489
15,BK09,201704,14898
16,BK09,201705,17602
17,BK09,201706,20279
18,BK09,201707,20500
19,BK09,201708,41316
20,BK09,201709,21176
21,BK09,201710,20710
22,BK09,201711,14735
23,BK09,201712,10010
24,BK09,201801,8145
25,BK09,201802,9514
26,BK09,201803,10665
27,BK32,201607,176
28,BK32,201608,183
29,BK32,201609,277
30,BK32,201610,174
31,BK32,201611,155
32,BK32,201612,123
33,BK32,201701,171
34,BK32,201702,103
35,BK32,201703,123
36,BK32,201704,187
37,BK32,201705,158
38,BK32,201706,175
39,BK32,201707,414
40,BK32,201708,1952
41,BK32,201709,911
42,BK32,201710,891
43,BK32,201711,676
44,BK32,201712,415
45,BK32,201801,335
46,BK32,201802,483
47,BK32,201803,488
48,BK33,201601,249
49,BK33,201602,368
50,BK33,201603,804
51,BK33,201604,1412
52,BK33,201605,1577
53,BK33,201606,1878
54,BK33,201607,1719
55,BK33,201608,4076
56,BK33,201609,20637
57,BK33,201610,20895
58,BK33,201611,15599
59,BK33,201612,9717
60,BK33,201701,8769
61,BK33,201702,10095
62,BK33,201703,9203
63,BK33,201704,19041
64,BK33,201705,21798
65,BK33,201706,28033
66,BK33,201707,29001
67,BK33,201708,57304
68,BK33,201709,28098
69,BK33,201710,26936
70,BK33,201711,18746
71,BK33,201712,12682
72,BK33,201801,10433
73,BK33,201802,12057
74,BK33,201803,14814
75,BK35,201601,1226
76,BK35,201602,1253
77,BK35,201603,2057
78,BK35,201604,2272
79,BK35,201605,2910
80,BK35,201606,3814
81,BK35,201607,3660
82,BK35,201608,3960
83,BK35,201609,4520
84,BK35,201610,4327
85,BK35,201611,3351
86,BK35,201612,2293
87,BK35,201701,2034
88,BK35,201702,2270
89,BK35,201703,2141
90,BK35,201704,4173
91,BK35,201705,4888
92,BK35,201706,5711
93,BK35,201707,6211
94,BK35,201708,13054
95,BK35,201709,6359
96,BK35,201710,5870
97,BK35,201711,3841
98,BK35,201712,2154
99,BK35,201801,1928
100,BK35,201802,2051
101,BK35,201803,2674
102,BK37,201601,534
103,BK37,201602,595
104,BK37,201603,1033
105,BK37,201604,1342
106,BK37,201605,1578
107,BK37,201606,1754
108,BK37,201607,1651
109,BK37,201608,4392
110,BK37,201609,24534
111,BK37,201610,27836
112,BK37,201611,21511
113,BK37,201612,13911
114,BK37,201701,13167
115,BK37,201702,14879
116,BK37,201703,13894
117,BK37,201704,25353
118,BK37,201705,29139
119,BK37,201706,36125
120,BK37,201707,36653
121,BK37,201708,72936
122,BK37,201709,39421
123,BK37,201710,38275
124,BK37,201711,26900
125,BK37,201712,17434
126,BK37,201801,15155
127,BK37,201802,16743
128,BK37,201803,20382
129,BK38,201601,7506
130,BK38,201602,8408
131,BK38,201603,15750
132,BK38,201604,19224
133,BK38,201605,23250
134,BK38,201606,26859
135,BK38,201607,24437
136,BK38,201608,27419
137,BK38,201609,35819
138,BK38,201610,33888
139,BK38,201611,25418
140,BK38,201612,16193
141,BK38,201701,14656
142,BK38,201702,17145
143,BK38,201703,15450
144,BK38,201704,32710
145,BK38,201705,38186
146,BK38,201706,44729
147,BK38,201707,46589
148,BK38,201708,95278
149,BK38,201709,49710
150,BK38,201710,49429
151,BK38,201711,31648
152,BK38,201712,21341
153,BK38,201801,17632
154,BK38,201802,20092
155,BK38,201803,23513
156,BK60,201710,789
157,BK60,201711,969
158,BK60,201712,582
159,BK60,201801,473
160,BK60,201802,556
161,BK60,201803,724
162,BK61,201601,245
163,BK61,201602,231
164,BK61,201603,365
165,BK61,201604,381
166,BK61,201605,552
167,BK61,201606,789
168,BK61,201607,720
169,BK61,201608,857
170,BK61,201609,839
171,BK61,201610,714
172,BK61,201611,655
173,BK61,201612,452
174,BK61,201701,413
175,BK61,201702,433
176,BK61,201703,364
177,BK61,201704,821
178,BK61,201705,1056
179,BK61,201706,1306
180,BK61,201707,1570
181,BK61,201708,3392
182,BK61,201709,1468
183,BK61,201710,4219
184,BK61,201711,4534
185,BK61,201712,2727
186,BK61,201801,2311
187,BK61,201802,2575
188,BK61,201803,4048
189,BK63,201710,355
190,BK63,201711,544
191,BK63,201712,390
192,BK63,201801,295
193,BK63,201802,343
194,BK63,201803,516
195,BK64,201608,1033
196,BK64,201609,2894
197,BK64,201610,2387
198,BK64,201611,1889
199,BK64,201612,1129
