,Station,yearMonth,Exits,Entries,Total_Volume,station_name,latitude,longitude,geometry
0,1 AV,201709,412637,388384,801021,1 AV,40.7686549,-73.9584259,POINT (-73.95842589999999 40.7686549)
1,103 ST,201709,391889,613681,1005570,103 ST,40.7960878,-73.96145260000002,POINT (-73.96145260000002 40.7960878)
2,103 ST-CORONA,201709,3437856,11942506,15380362,103 ST-CORONA,40.7497795,-73.86264609999999,POINT (-73.86264609999999 40.7497795)
3,104 ST,201709,13628,63030,76658,104 ST,40.6813328,-73.8388457,POINT (-73.83884569999999 40.6813328)
4,110 ST,201709,160893,224511,385404,110 ST,40.7984831,-73.9526131,POINT (-73.95261309999999 40.7984831)
5,111 ST,201709,177542,352329,529871,111 ST,40.697418,-73.836345,POINT (-73.83634499999999 40.697418)
6,116 ST,201709,345158,675653,1020811,116 ST,40.8022138,-73.94974359999999,POINT (-73.94974359999999 40.8022138)
7,116 ST-COLUMBIA,201709,157208,303397,460605,116 ST-COLUMBIA,40.807722,-73.96410999999999,POINT (-73.96410999999999 40.807722)
8,121 ST,201709,7212,17030,24242,121 ST,40.700365,-73.8291522,POINT (-73.8291522 40.700365)
9,125 ST,201709,1129079,1541249,2670328,125 ST,40.80440309999999,-73.9372212,POINT (-73.9372212 40.80440309999999)
10,135 ST,201709,154260,399748,554008,135 ST,40.817894,-73.947647,POINT (-73.947647 40.817894)
11,137 ST CITY COL,201709,212605,280751,493356,137 ST CITY COL,40.821374,-73.95440099999999,POINT (-73.95440099999999 40.821374)
12,138/GRAND CONC,201709,54838,66183,121021,138/GRAND CONC,40.81313,-73.929683,POINT (-73.929683 40.81313)
13,14 ST,201709,959013,1053280,2012293,14 ST,40.7397407,-74.00280390000002,POINT (-74.00280390000002 40.7397407)
14,14 ST-UNION SQ,201709,103223163,559387574,662610737,14 ST-UNION SQ,40.734791,-73.99073,POINT (-73.99073 40.734791)
15,145 ST,201709,514313,729671,1243984,145 ST,40.82664339999999,-73.95053829999999,POINT (-73.95053829999999 40.82664339999999)
16,149/GRAND CONC,201709,149431,253243,402674,149/GRAND CONC,40.818323,-73.92718280000001,POINT (-73.92718280000001 40.818323)
17,14TH STREET,201709,532989,232431,765420,14TH STREET,40.7549699,-74.0010058,POINT (-74.0010058 40.7549699)
18,15 ST-PROSPECT,201709,16810122,1072794033,1089604155,15 ST-PROSPECT,40.6606742,-73.97947780000001,POINT (-73.97947780000001 40.6606742)
19,155 ST,201709,73037,130767,203804,155 ST,40.83032120000001,-73.9367184,POINT (-73.9367184 40.83032120000001)
20,157 ST,201709,122192,218808,341000,157 ST,40.8342387,-73.9450796,POINT (-73.9450796 40.8342387)
21,161/YANKEE STAD,201709,638584,857809,1496393,161/YANKEE STAD,40.8256289,-73.9302379,POINT (-73.93023789999999 40.8256289)
22,163 ST-AMSTERDM,201709,23053,90033,113086,163 ST-AMSTERDM,40.836013,-73.939892,POINT (-73.939892 40.836013)
23,167 ST,201709,237136,378303,615439,167 ST,40.834458,-73.9181569,POINT (-73.9181569 40.834458)
24,168 ST,201709,316301,468211,784512,168 ST,40.8491196,-73.9337381,POINT (-73.9337381 40.8491196)
25,169 ST,201709,120275,164350,284625,169 ST,40.71047,-73.793604,POINT (-73.793604 40.71047)
26,170 ST,201709,551682178,835882740,1387564918,170 ST,40.8400823,-73.913353,POINT (-73.913353 40.8400823)
27,174 ST,201709,109006,142034,251040,174 ST,40.8374194,-73.887805,POINT (-73.887805 40.8374194)
28,174-175 STS,201709,33663,101123,134786,174-175 STS,40.8465067,-73.90972289999999,POINT (-73.90972289999999 40.8465067)
29,175 ST,201709,115338,260099,375437,175 ST,40.8479501,-73.9393709,POINT (-73.9393709 40.8479501)
30,176 ST,201709,56085,122780,178865,176 ST,40.84848,-73.911794,POINT (-73.911794 40.84848)
31,18 AV,201709,102161,275497,377658,18 AV,40.620091,-73.98948229999999,POINT (-73.98948229999999 40.620091)
32,18 ST,201709,99119,149740,248859,18 ST,40.74104,-73.997871,POINT (-73.997871 40.74104)
33,181 ST,201709,362134,441793,803927,181 ST,40.8491196,-73.9337381,POINT (-73.9337381 40.8491196)
34,182-183 STS,201709,26939,89146,116085,182-183 STS,40.856093,-73.900741,POINT (-73.900741 40.856093)
35,183 ST,201709,57277,125173,182450,183 ST,40.8583924,-73.90397810000002,POINT (-73.90397810000002 40.8583924)
36,190 ST,201709,36889,96286,133175,190 ST,40.8588877,-73.9342216,POINT (-73.9342216 40.8588877)
37,191 ST,201709,153543,161119,314662,191 ST,40.8553621,-73.9295207,POINT (-73.9295207 40.8553621)
38,2 AV,201709,275229,265985,541214,2 AV,40.7686549,-73.9584259,POINT (-73.95842589999999 40.7686549)
39,20 AV,201709,28004,159106,187110,20 AV,40.6173042,-73.98483279999999,POINT (-73.98483279999999 40.6173042)
40,207 ST,201709,56312,129294,185606,207 ST,40.8678989,-73.9212342,POINT (-73.9212342 40.8678989)
41,21 ST,201709,42367,39146,81513,21 ST,40.7447266,-73.9486886,POINT (-73.9486886 40.7447266)
42,21 ST-QNSBRIDGE,201709,122630,198884,321514,21 ST-QNSBRIDGE,40.75417770000001,-73.94247419999999,POINT (-73.94247419999999 40.75417770000001)
43,215 ST,201709,15881,37934,53815,215 ST,40.8696056,-73.9153168,POINT (-73.9153168 40.8696056)
44,219 ST,201709,21145,50050,71195,219 ST,40.8837954,-73.86283159999999,POINT (-73.86283159999999 40.8837954)
45,225 ST,201709,25765,67484,93249,225 ST,40.874561,-73.909831,POINT (-73.909831 40.874561)
46,23 ST,201709,1615974,2059541,3675515,23 ST,40.7427439,-73.99264529999999,POINT (-73.99264529999999 40.7427439)
47,231 ST,201709,26626,187189,213815,231 ST,40.8789934,-73.9049454,POINT (-73.9049454 40.8789934)
48,233 ST,201709,21214,79339,100553,233 ST,40.893193,-73.85747300000001,POINT (-73.85747300000001 40.893193)
49,238 ST,201709,2431,87949,90380,238 ST,40.884667,-73.90087,POINT (-73.90087 40.884667)
50,25 AV,201709,25889,111469,137358,25 AV,40.5976616,-73.9867701,POINT (-73.9867701 40.5976616)
51,25 ST,201709,75474,105567,181041,25 ST,40.660397,-73.998091,POINT (-73.998091 40.660397)
52,28 ST,201709,831978,872678,1704656,28 ST,40.7472228,-73.99311279999999,POINT (-73.99311279999999 40.7472228)
53,3 AV,201709,132377,114929,247306,3 AV,40.7686549,-73.9584259,POINT (-73.95842589999999 40.7686549)
54,3 AV 138 ST,201709,97324,156728,254052,3 AV 138 ST,40.7686549,-73.9584259,POINT (-73.95842589999999 40.7686549)
55,3 AV-149 ST,201709,1135729,8848608,9984337,3 AV-149 ST,40.816109,-73.917755,POINT (-73.917755 40.816109)
56,30 AV,201709,154676,243525,398201,30 AV,40.7668012,-73.9215746,POINT (-73.9215746 40.7668012)
57,33 ST,201709,415965,535829,951794,33 ST,40.7466576,-73.9818873,POINT (-73.9818873 40.7466576)
58,33 ST-RAWSON ST,201709,169779,216009,385788,33 ST-RAWSON ST,40.7446777,-73.9310986,POINT (-73.9310986 40.7446777)
59,34 ST-HERALD SQ,201709,1990737,2086591,4077328,34 ST-HERALD SQ,40.7496439,-73.9876706,POINT (-73.9876706 40.7496439)
60,34 ST-HUDSON YD,201709,236812,192559,429371,34 ST-HUDSON YD,40.7549699,-74.0010058,POINT (-74.0010058 40.7549699)
61,34 ST-PENN STA,201709,2537385,2874342,5411727,34 ST-PENN STA,40.751056,-73.9903102,POINT (-73.9903102 40.751056)
62,36 AV,201709,77394,116964,194358,36 AV,40.7566832,-73.9295052,POINT (-73.92950519999999 40.7566832)
63,36 ST,201709,215934,376976,592910,36 ST,40.6545136,-74.0044579,POINT (-74.00445790000001 40.6545136)
64,39 AV,201709,29198,48853,78051,39 AV,40.7524943,-73.9329113,POINT (-73.9329113 40.7524943)
65,4 AV-9 ST,201709,92789,76554,169343,4 AV-9 ST,40.6705107,-73.99005819999999,POINT (-73.99005819999999 40.6705107)
66,40 ST LOWERY ST,201709,154590,209732,364322,40 ST LOWERY ST,40.7438908,-73.9241552,POINT (-73.9241552 40.7438908)
67,42 ST-BRYANT PK,201709,728912,672235,1401147,42 ST-BRYANT PK,40.7551354,-73.9841134,POINT (-73.9841134 40.7551354)
68,42 ST-PORT AUTH,201709,1414933,1805231,3220164,42 ST-PORT AUTH,40.7552574,-73.986933,POINT (-73.98693299999999 40.7552574)
69,45 ST,201709,73768,136911,210679,45 ST,40.648939,-74.01000599999999,POINT (-74.01000599999999 40.648939)
70,46 ST,201709,127391,171204,298595,46 ST,40.7430616,-73.9182048,POINT (-73.9182048 40.7430616)
71,46 ST BLISS ST,201709,171745,272023,443768,46 ST BLISS ST,40.7430616,-73.9182048,POINT (-73.9182048 40.7430616)
72,47-50 STS ROCK,201709,1048638,910798,1959436,47-50 STS ROCK,40.75866300000001,-73.981329,POINT (-73.981329 40.75866300000001)
73,49 ST,201709,409085,444501,853586,49 ST,40.760362,-73.9835025,POINT (-73.9835025 40.760362)
74,4AV-9 ST,201709,131789,207786,339575,4AV-9 ST,40.6705107,-73.99005819999999,POINT (-73.99005819999999 40.6705107)
75,5 AV/53 ST,201709,462173,422303,884476,5 AV/53 ST,40.7602163,-73.975543,POINT (-73.975543 40.7602163)
76,5 AV/59 ST,201709,235540,324401,559941,5 AV/59 ST,40.7652386,-73.9747197,POINT (-73.97471969999999 40.7652386)
77,5 AVE,201709,199887,210547,410434,5 AVE,40.7602163,-73.975543,POINT (-73.975543 40.7602163)
78,50 ST,201709,664661,798769,1463430,50 ST,40.76250479999999,-73.9862468,POINT (-73.9862468 40.76250479999999)
79,51 ST,201709,709354,685060,1394414,51 ST,40.7686549,-73.9584259,POINT (-73.95842589999999 40.7686549)
80,52 ST,201709,107358,131723,239081,52 ST,40.74414900000001,-73.912549,POINT (-73.912549 40.74414900000001)
81,53 ST,201709,94593,112174,206767,53 ST,40.7602163,-73.975543,POINT (-73.975543 40.7602163)
82,55 ST,201709,16548,37654,54202,55 ST,40.631435,-73.995476,POINT (-73.995476 40.631435)
83,57 ST,201709,245148,258806,503954,57 ST,40.765564,-73.9803309,POINT (-73.9803309 40.765564)
84,57 ST-7 AV,201709,421875,628657,1050532,57 ST-7 AV,40.765564,-73.9803309,POINT (-73.9803309 40.765564)
85,59 ST,201709,1089048,1343582,2432630,59 ST,40.765564,-73.9803309,POINT (-73.9803309 40.765564)
86,59 ST COLUMBUS,201709,184966354,586211389,771177743,59 ST COLUMBUS,40.7687804,-73.9821154,POINT (-73.9821154 40.7687804)
87,6 AV,201709,55643,109841,165484,6 AV,40.75866300000001,-73.981329,POINT (-73.981329 40.75866300000001)
88,61 ST WOODSIDE,201709,325381,339306,664687,61 ST WOODSIDE,40.7456717,-73.9029142,POINT (-73.9029142 40.7456717)
89,63 DR-REGO PARK,201709,106500,298602,405102,63 DR-REGO PARK,40.7296219,-73.8617622,POINT (-73.8617622 40.7296219)
90,65 ST,201709,42204,69196,111400,65 ST,40.749142,-73.8974671,POINT (-73.8974671 40.749142)
91,66 ST-LINCOLN,201709,353314,372862,726176,66 ST-LINCOLN,40.7735874,-73.9820172,POINT (-73.9820172 40.7735874)
92,67 AV,201709,70224,167781,238005,67 AV,40.7263823,-73.8515929,POINT (-73.8515929 40.7263823)
93,68ST-HUNTER CO,201709,343711,447825,791536,68ST-HUNTER CO,40.76786999999999,-73.963894,POINT (-73.963894 40.76786999999999)
94,69 ST,201709,97809,114800,212609,69 ST,40.7462734,-73.89633169999999,POINT (-73.89633169999999 40.7462734)
95,7 AV,201709,573058,663730,1236788,7 AV,40.765564,-73.9803309,POINT (-73.9803309 40.765564)
96,71 ST,201709,33304,116680,149984,71 ST,40.619589,-73.998864,POINT (-73.998864 40.619589)
97,72 ST,201709,876816,880614,1757430,72 ST,40.7686549,-73.9584259,POINT (-73.95842589999999 40.7686549)
98,72 ST-2 AVE,201709,464741,534561,999302,72 ST-2 AVE,40.7686549,-73.9584259,POINT (-73.95842589999999 40.7686549)
99,74 ST-BROADWAY,201709,88757,62510,151267,74 ST-BROADWAY,40.7470615,-73.8914152,POINT (-73.8914152 40.7470615)
100,75 AV,201709,15208,60512,75720,75 AV,40.718331,-73.837324,POINT (-73.837324 40.718331)
101,75 ST-ELDERTS,201709,39136,69021,108157,75 ST-ELDERTS,40.6913744,-73.86722379999999,POINT (-73.86722379999999 40.6913744)
102,77 ST,201709,526192,633901,1160093,77 ST,40.6295375,-74.025742,POINT (-74.02574199999999 40.6295375)
103,79 ST,201709,188684,427241,615925,79 ST,40.6139795,-74.0005644,POINT (-74.0005644 40.6139795)
104,8 AV,201709,578249,691936,1270185,8 AV,40.6898115,-73.9811745,POINT (-73.98117449999999 40.6898115)
105,8 ST-NYU,201709,226806,285542,512348,8 ST-NYU,40.7306255,-73.9926698,POINT (-73.9926698 40.7306255)
106,80 ST,201709,42254,89510,131764,80 ST,40.6794372,-73.8590255,POINT (-73.8590255 40.6794372)
107,81 ST-MUSEUM,201709,193624,249609,443233,81 ST-MUSEUM,40.7819786,-73.9720136,POINT (-73.9720136 40.7819786)
108,82 ST-JACKSON H,201709,324771,312027,636798,82 ST-JACKSON H,40.74765900000001,-73.883697,POINT (-73.883697 40.74765900000001)
109,85 ST-FOREST PK,201709,29760,73020,102780,85 ST-FOREST PK,40.692435,-73.86001,POINT (-73.86001 40.692435)
110,86 ST,201709,1320870,1591251,2912121,86 ST,40.7778805,-73.95147279999999,POINT (-73.95147279999999 40.7778805)
111,86 ST-2 AVE,201709,318276,471712,789988,86 ST-2 AVE,40.7778805,-73.95147279999999,POINT (-73.95147279999999 40.7778805)
112,88 ST,201709,19854,57916,77770,88 ST,40.679843,-73.85146999999999,POINT (-73.85146999999999 40.679843)
113,9 AV,201709,93030,111850,204880,9 AV,40.646292,-73.99432399999999,POINT (-73.99432399999999 40.646292)
114,90 ST-ELMHURST,201709,135210,339889,475099,90 ST-ELMHURST,40.7484876,-73.87653279999999,POINT (-73.87653279999999 40.7484876)
115,96 ST,201709,882658,1217925,2100583,96 ST,40.7841253,-73.9474458,POINT (-73.9474458 40.7841253)
116,96 ST-2 AVE,201709,242883,361450,604333,96 ST-2 AVE,40.7858497,-73.9509439,POINT (-73.9509439 40.7858497)
117,9TH STREET,201709,116673,94798,211471,9TH STREET,40.6746048,-73.99703970000002,POINT (-73.99703970000002 40.6746048)
118,ALABAMA AV,201709,46465,49196,95661,ALABAMA AV,40.6769157,-73.8993744,POINT (-73.8993744 40.6769157)
119,ALLERTON AV,201709,32881,97125,130006,ALLERTON AV,40.8654419,-73.867245,POINT (-73.867245 40.8654419)
120,AQUEDUCT N.COND,201709,35694,19825,55519,AQUEDUCT N.COND,40.6413111,-73.77813909999999,POINT (-73.77813909999999 40.6413111)
121,AQUEDUCT RACETR,201709,4168,35094,39262,AQUEDUCT RACETR,40.6721482,-73.8356853,POINT (-73.83568529999999 40.6721482)
122,ASTOR PL,201709,332901,298359,631260,ASTOR PL,40.7300946,-73.9908418,POINT (-73.9908418 40.7300946)
123,ASTORIA BLVD,201709,136342,218736,355078,ASTORIA BLVD,40.775036,-73.91203399999999,POINT (-73.91203399999999 40.775036)
124,ASTORIA DITMARS,201709,211039,299629,510668,ASTORIA DITMARS,40.775036,-73.91203399999999,POINT (-73.91203399999999 40.775036)
125,ATL AV-BARCLAY,201709,743500,767267,1510767,ATL AV-BARCLAY,40.683666,-73.97881,POINT (-73.97881 40.683666)
126,ATLANTIC AV,201709,14409,36480,50889,ATLANTIC AV,40.675345,-73.903097,POINT (-73.903097 40.675345)
127,AVENUE H,201709,47490,67273,114763,AVENUE H,40.7549699,-74.0010058,POINT (-74.0010058 40.7549699)
128,AVENUE I,201709,6404,14052,20456,AVENUE I,40.7686549,-73.9584259,POINT (-73.95842589999999 40.7686549)
129,AVENUE J,201709,53915,119034,172949,AVENUE J,40.6252595,-73.9607769,POINT (-73.9607769 40.6252595)
130,AVENUE M,201709,46262,118999,165261,AVENUE M,40.7686549,-73.9584259,POINT (-73.95842589999999 40.7686549)
131,AVENUE N,201709,19964,31508,51472,AVENUE N,40.7686549,-73.9584259,POINT (-73.95842589999999 40.7686549)
132,AVENUE P,201709,28634,24065,52699,AVENUE P,40.7686549,-73.9584259,POINT (-73.95842589999999 40.7686549)
133,AVENUE U,201709,74971,227244,302215,AVENUE U,40.7686549,-73.9584259,POINT (-73.95842589999999 40.7686549)
134,AVENUE X,201709,35048,48373,83421,AVENUE X,40.7686549,-73.9584259,POINT (-73.95842589999999 40.7686549)
135,B'WAY-LAFAYETTE,201709,539460,374291,913751,B'WAY-LAFAYETTE,40.7250151,-73.9956959,POINT (-73.9956959 40.7250151)
136,BAY 50 ST,201709,12873,56627,69500,BAY 50 ST,40.588841,-73.98376499999999,POINT (-73.98376499999999 40.588841)
137,BAY PKWY,201709,336312,333638,669950,BAY PKWY,40.61188000000001,-73.98187109999999,POINT (-73.98187109999999 40.61188000000001)
138,BAY RIDGE-95 ST,201709,54680,105383,160063,BAY RIDGE-95 ST,40.616622,-74.03087599999999,POINT (-74.03087599999999 40.616622)
139,BAYCHESTER AV,201709,11021,75059,86080,BAYCHESTER AV,40.8795827,-73.8379547,POINT (-73.8379547 40.8795827)
140,BEACH 105 ST,201709,6666,6406,13072,BEACH 105 ST,40.5832071,-73.8273751,POINT (-73.8273751 40.5832071)
141,BEACH 25 ST,201709,35284,38453,73737,BEACH 25 ST,40.59967839999999,-73.7617897,POINT (-73.76178969999999 40.59967839999999)
142,BEACH 36 ST,201709,18601,19418,38019,BEACH 36 ST,40.59553349999999,-73.7681252,POINT (-73.7681252 40.59553349999999)
143,BEACH 44 ST,201709,13428,14136,27564,BEACH 44 ST,40.5929069,-73.77598200000001,POINT (-73.77598200000001 40.5929069)
144,BEACH 60 ST,201709,31275,47086,78361,BEACH 60 ST,40.592374,-73.788522,POINT (-73.788522 40.592374)
145,BEACH 67 ST,201709,35930,53957,89887,BEACH 67 ST,40.5909252,-73.7963094,POINT (-73.7963094 40.5909252)
146,BEACH 90 ST,201709,15269,21590,36859,BEACH 90 ST,40.5879159,-73.8141345,POINT (-73.81413449999999 40.5879159)
147,BEACH 98 ST,201709,10177,11040,21217,BEACH 98 ST,40.5855231,-73.82042919999999,POINT (-73.82042919999999 40.5855231)
148,BEDFORD AV,201709,595128,573323,1168451,BEDFORD AV,40.6899751,-73.9516093,POINT (-73.9516093 40.6899751)
149,BEDFORD PK BLVD,201709,161958,33909229,34071187,BEDFORD PK BLVD,40.873244,-73.887138,POINT (-73.88713799999999 40.873244)
150,BEDFORD-NOSTRAN,201709,83158,169229,252387,BEDFORD-NOSTRAN,40.6899751,-73.9516093,POINT (-73.9516093 40.6899751)
151,BERGEN ST,201709,175360,277430,452790,BERGEN ST,40.6868943,-73.9905278,POINT (-73.9905278 40.6868943)
152,BEVERLEY ROAD,201709,43861,63798,107659,BEVERLEY ROAD,40.645098,-73.948959,POINT (-73.948959 40.645098)
153,BEVERLY RD,201709,13335,83677,97012,BEVERLY RD,40.645098,-73.948959,POINT (-73.948959 40.645098)
154,BLEECKER ST,201709,107588,277644,385232,BLEECKER ST,40.7250151,-73.9956959,POINT (-73.9956959 40.7250151)
155,BOROUGH HALL,201709,430016,671622,1101638,BOROUGH HALL,40.6931492,-73.9900883,POINT (-73.9900883 40.6931492)
156,BOTANIC GARDEN,201709,41526,31220,72746,BOTANIC GARDEN,40.67062749999999,-73.9591095,POINT (-73.9591095 40.67062749999999)
157,BOWERY,201709,65955,75378,141333,BOWERY,40.7203142,-73.9934421,POINT (-73.9934421 40.7203142)
158,BOWLING GREEN,201709,363719,515828,879547,BOWLING GREEN,40.7046465,-74.013544,POINT (-74.013544 40.7046465)
159,BRIARWOOD,201709,40877,96731,137608,BRIARWOOD,40.7092812,-73.8199405,POINT (-73.8199405 40.7092812)
160,BRIGHTON BEACH,201709,149450,244733,394183,BRIGHTON BEACH,40.5776648,-73.9612769,POINT (-73.9612769 40.5776648)
161,BROAD CHANNEL,201709,1535,5941,7476,BROAD CHANNEL,40.6083805,-73.8159112,POINT (-73.8159112 40.6083805)
162,BROAD ST,201709,46023,119267,165290,BROAD ST,40.7070231,-74.01088360000001,POINT (-74.01088360000001 40.7070231)
163,BROADWAY,201709,192620,299308,491928,BROADWAY,40.7466891,-73.8908579,POINT (-73.8908579 40.7466891)
164,BROADWAY JCT,201709,149104,177045,326149,BROADWAY JCT,40.6789137,-73.9039,POINT (-73.90389999999999 40.6789137)
165,BRONX PARK EAST,201709,18585,47844,66429,BRONX PARK EAST,40.848828,-73.86845699999999,POINT (-73.86845699999999 40.848828)
166,BROOK AV,201709,99571,120687,220258,BROOK AV,40.8077543,-73.91935649999999,POINT (-73.91935649999999 40.8077543)
167,BROOKLYN BRIDGE,201709,323642,373255,696897,BROOKLYN BRIDGE,40.7130106,-74.0032796,POINT (-74.0032796 40.7130106)
168,BUHRE AV,201709,62157,72396,134553,BUHRE AV,40.84681,-73.83256899999999,POINT (-73.83256899999999 40.84681)
169,BURKE AV,201709,19529,62042,81571,BURKE AV,40.871356,-73.867164,POINT (-73.867164 40.871356)
170,BURNSIDE AV,201709,97578,213940,311518,BURNSIDE AV,40.85345299999999,-73.90768400000002,POINT (-73.90768400000002 40.85345299999999)
171,BUSHWICK AV,201709,24940,42730,67670,BUSHWICK AV,40.6823164,-73.9051425,POINT (-73.9051425 40.6823164)
172,CANAL ST,201709,1212893,1466146,2679039,CANAL ST,40.7189232,-74.0010862,POINT (-74.0010862 40.7189232)
173,CANARSIE-ROCKAW,201709,61827,246577,308404,CANARSIE-ROCKAW,40.6465706,-73.9019465,POINT (-73.90194649999999 40.6465706)
174,CARROLL ST,201709,87481,212916,300397,CARROLL ST,40.67925109999999,-73.9957742,POINT (-73.9957742 40.67925109999999)
175,CASTLE HILL AV,201709,113511,130433,243944,CASTLE HILL AV,40.8342899,-73.85154419999999,POINT (-73.85154419999999 40.8342899)
176,CATHEDRAL PKWY,201709,195281,391712,586993,CATHEDRAL PKWY,40.8039733,-73.9666165,POINT (-73.9666165 40.8039733)
177,CENTRAL AV,201709,35,2,37,CENTRAL AV,40.697857,-73.927397,POINT (-73.927397 40.697857)
178,CENTRAL PK N110,201709,131901,174060,305961,CENTRAL PK N110,40.7984831,-73.9526131,POINT (-73.95261309999999 40.7984831)
179,CHAMBERS ST,201709,960552,1116767,2077319,CHAMBERS ST,40.715477,-74.00927,POINT (-74.00927 40.715477)
180,CHAUNCEY ST,201709,26971,71542,98513,CHAUNCEY ST,40.682893,-73.910456,POINT (-73.910456 40.682893)
181,CHRISTOPHER ST,201709,269321,267750,537071,CHRISTOPHER ST,40.73347070000001,-74.0030617,POINT (-74.0030617 40.73347070000001)
182,CHURCH AV,201709,447759,728419,1176178,CHURCH AV,40.6495233,-73.9632839,POINT (-73.96328389999999 40.6495233)
183,CITY / BUS,201709,2469879,1210525,3680404,CITY / BUS,40.7130106,-74.0032796,POINT (-74.0032796 40.7130106)
184,CITY HALL,201709,83391,141937,225328,CITY HALL,40.713065,-74.004131,POINT (-74.004131 40.713065)
185,CLARK ST,201709,43341,82728,126069,CLARK ST,40.6977218,-73.99297899999999,POINT (-73.99297899999999 40.6977218)
186,CLASSON AV,201709,78634,96412,175046,CLASSON AV,40.688873,-73.96007,POINT (-73.96007 40.688873)
187,CLEVELAND ST,201709,59384,65834,125218,CLEVELAND ST,40.679947,-73.88463899999999,POINT (-73.88463899999999 40.679947)
188,CLINTON-WASH AV,201709,107346,239266,346612,CLINTON-WASH AV,40.6880915,-73.9675499,POINT (-73.96754989999999 40.6880915)
189,CONEY IS-STILLW,201709,251777,289541,541318,CONEY IS-STILLW,40.577422,-73.981233,POINT (-73.981233 40.577422)
190,CORTELYOU RD,201709,36074,127859,163933,CORTELYOU RD,40.6412679,-73.9639359,POINT (-73.9639359 40.6412679)
191,CORTLANDT ST,201709,279785,370501,650286,CORTLANDT ST,40.7108803,-74.0107666,POINT (-74.0107666 40.7108803)
192,COURT SQ,201709,1570464,4501649,6072113,COURT SQ,40.7467885,-73.944548,POINT (-73.944548 40.7467885)
193,COURT SQ-23 ST,201709,11480386,22428464,33908850,COURT SQ-23 ST,40.7467885,-73.944548,POINT (-73.944548 40.7467885)
194,CRESCENT ST,201709,103950,101566,205516,CRESCENT ST,40.6834543,-73.8726263,POINT (-73.87262629999999 40.6834543)
195,CROWN HTS-UTICA,201709,322840,502688,825528,CROWN HTS-UTICA,40.6689471,-73.93184,POINT (-73.93183999999999 40.6689471)
196,CYPRESS AV,201709,48181,77477,125658,CYPRESS AV,40.805368,-73.914042,POINT (-73.91404199999999 40.805368)
197,CYPRESS HILLS,201709,16310,27764,44074,CYPRESS HILLS,40.689941,-73.87254999999999,POINT (-73.87254999999999 40.689941)
198,DEKALB AV,201709,231556,691404,922960,DEKALB AV,40.6898115,-73.9811745,POINT (-73.98117449999999 40.6898115)
199,DELANCEY/ESSEX,201709,335587,453470,789057,DELANCEY/ESSEX,40.718613,-73.988113,POINT (-73.988113 40.718613)
200,DITMAS AV,201709,34212,67160,101372,DITMAS AV,40.6354536,-73.9782548,POINT (-73.9782548 40.6354536)
201,DYCKMAN ST,201709,71950,274611,346561,DYCKMAN ST,40.8652172,-73.9272555,POINT (-73.9272555 40.8652172)
202,E 143/ST MARY'S,201709,21147,20018,41165,E 143/ST MARY'S,40.80834919999999,-73.9076307,POINT (-73.9076307 40.80834919999999)
203,E 149 ST,201709,82983,97912,180895,E 149 ST,40.816129,-73.917811,POINT (-73.917811 40.816129)
