,NTACode,yearMonth,subwayExits,subwayEntries
0,BK09,201601,265914.0,310061.0
1,BK09,201602,268745.0,320431.0
2,BK09,201603,308964.0,359748.0
3,BK09,201604,292435.0,335191.0
4,BK09,201605,337177.0,362077.0
5,BK09,201606,167222.0,188499.0
6,BK09,201607,206777.0,244153.0
7,BK09,201608,328551.0,330332.0
8,BK09,201609,3408753.4010416665,552574.8442563658
9,BK09,201610,298496.0,341301.0
10,BK09,201611,1601359.0,2856787.0
11,BK09,201612,254539.0,272895.0
12,BK09,201701,298491.0,347723.0
13,BK09,201702,234748.0,263886.0
14,BK09,201703,210464.0,259994.0
15,BK09,201704,311720.0,346909.0
16,BK09,201705,328279.0,365153.0
17,BK09,201706,179016.0,191247.0
18,BK09,201707,290104.0,297469.0
19,BK09,201708,337120.0,332200.0
20,BK09,201709,278011.0,285580.0
21,BK09,201710,377607.0,391335.0
22,BK09,201711,333241.0,360223.0
23,BK09,201712,159921.0,176517.0
24,BK17,201601,313878.0,485800.0
25,BK17,201602,316998.0,493451.0
26,BK17,201603,378989.0,585076.0
27,BK17,201604,351508.0,536312.0
28,BK17,201605,368622.0,559854.0
29,BK17,201606,198982.0,300301.0
30,BK17,201607,1390877.625,3728747.3489583335
31,BK17,201608,3103001.0,4948654.0
32,BK17,201609,365022.0,557827.0
33,BK17,201610,360567.0,551395.0
34,BK17,201611,350801.0,550798.0
35,BK17,201612,744125.484375,1145529.8218315972
36,BK17,201701,336079.0,525230.0
37,BK17,201702,238705.0,378265.0
38,BK17,201703,333718.0,534599.0
39,BK17,201704,343619.0,524330.0
40,BK17,201705,382026.0,581310.0
41,BK17,201706,198210.0,303015.0
42,BK17,201707,345955.0,511052.0
43,BK17,201708,363832.0,538262.0
44,BK17,201709,269754.0,417301.0
45,BK17,201710,804720.0,987097.0
46,BK17,201711,340693.0,531435.0
47,BK17,201712,245690.0,304892.0
48,BK19,201601,177748.0,283191.0
49,BK19,201602,177815.0,282987.0
50,BK19,201603,208167.0,350835.0
51,BK19,201604,179465.0,308760.0
52,BK19,201605,199721.0,342277.0
53,BK19,201606,112077.0,182430.0
54,BK19,201607,149805.0,248958.0
55,BK19,201608,212393.0,315983.0
56,BK19,201609,205861.0,330951.0
57,BK19,201610,193291.0,318612.0
58,BK19,201611,201678.0,338464.0
59,BK19,201612,146636.0,238688.0
60,BK19,201701,184423.0,300642.0
61,BK19,201702,129269.0,211699.0
62,BK19,201703,146249.0,252967.0
63,BK19,201704,181847.265625,295333.38888888893
64,BK19,201705,199835.0,338748.0
65,BK19,201706,111157.0,173899.0
66,BK19,201707,208610.0,313018.0
67,BK19,201708,200229.0,303011.0
68,BK19,201709,149450.0,244733.0
69,BK19,201710,201031.0,341422.0
70,BK19,201711,209495.0,342173.0
71,BK19,201712,90191.0,151324.0
72,BK21,201601,12019.0,40511.0
73,BK21,201602,11624.0,41376.0
74,BK21,201603,14030.0,47945.0
75,BK21,201604,12160.0,40781.0
76,BK21,201605,12921.0,42349.0
77,BK21,201606,8751.0,22681.0
78,BK21,201607,11419.0,29269.0
79,BK21,201608,15732.0,39903.0
80,BK21,201609,17676.0,44605.0
81,BK21,201610,17683.0,45097.0
82,BK21,201611,15498.0,40624.0
83,BK21,201612,12175.0,32920.0
84,BK21,201701,15015.0,41204.0
85,BK21,201702,10375.0,28246.0
86,BK21,201703,12674.0,34271.0
87,BK21,201704,15677.0,40635.0
88,BK21,201705,15415.0,44524.0
89,BK21,201706,7246.0,22074.0
90,BK21,201707,11563.0,33691.0
91,BK21,201708,12136.0,35791.0
92,BK21,201709,9478.0,27920.0
93,BK21,201710,13694.0,41383.0
94,BK21,201711,13817.0,41835.0
95,BK21,201712,7086.0,20773.0
96,BK23,201601,237752.0,273951.0
97,BK23,201602,236551.0,278851.0
98,BK23,201603,391750.8333333333,405345.92346643517
99,BK23,201604,304532.0,359451.0
100,BK23,201605,340679.0,445881.0
